Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Marshall Islands,MHL,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Mauritania,MRT,9.8,9.8,10.4,6.16,7.57
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Mauritius,MUS,0.99,2.09,1.81,2.61,2.58
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Mexico,MEX,4.7,..,..,..,7.66
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Moldova,MDA,..,..,8.33,7.55,6.24
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Monaco,MCO,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Mongolia,MNG,7.46,7.78,7.81,7.48,7.89
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Montenegro,MNE,12.37,12.29,10.24,11.65,9.78
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Morocco,MAR,..,12.3,12.3,14.81,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Mozambique,MOZ,7.55,..,7.55,7.92,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Myanmar,MMR,..,7.95,..,6.58,6.6
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Namibia,NAM,5.07,14.32,4.43,4.86,7.82
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Nauru,NRU,10.55,19.71,16.67,16,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Nepal,NPL,12.2,14.06,12.49,12.37,11.64
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Netherlands,NLD,2.62,2.72,2.18,2.84,1.87
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,New Caledonia,NCL,..,..,..,..,..
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,New Zealand,NZL,..,1.38,1.64,1.64,1.75
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Nicaragua,NIC,8.25,7.89,8.82,8.59,7.65
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Niger,NER,18.82,19.74,14.44,14.03,12.28
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS,Nigeria,NGA,..,..,11.83,11.68,9.91
